Episode,Throughput_Mbps,JFI,MARL_Reward,Active_APs,Eval_Throughput_Mbps,Eval_JFI,Eval_Active_APs,Eval_Mode
421,433.82,0.588,0.68,5.04,,,,
422,424.5,0.614,0.69,5.48,,,,
423,423.15,0.6,0.68,5.04,,,,
424,390.12,0.583,0.65,4.86,,,,
425,422.78,0.625,0.69,5.35,434.57,0.644,5.66,fixed
426,400.99,0.584,0.65,4.87,,,,
427,417.18,0.597,0.67,5.18,,,,
428,415.9,0.561,0.66,4.76,,,,
429,412.89,0.582,0.66,5.02,,,,
430,450.74,0.653,0.72,5.77,,,,
431,403.8,0.616,0.67,4.92,,,,
432,410.82,0.578,0.66,4.9,,,,
433,415.49,0.576,0.66,5.09,,,,
434,418.3,0.59,0.67,4.96,,,,
435,407.07,0.638,0.68,5.29,,,,
436,476.05,0.661,0.75,5.87,,,,
437,413.26,0.599,0.67,5.19,,,,
438,451.55,0.665,0.73,5.87,,,,
439,423.95,0.629,0.69,5.3,,,,
440,438.76,0.623,0.7,5.46,,,,
441,409.56,0.6,0.67,5.24,,,,
442,430.74,0.657,0.71,5.54,,,,
443,414.56,0.598,0.67,4.8,,,,
444,418.34,0.637,0.69,5.65,,,,
445,420.85,0.607,0.68,5.09,,,,
446,438.38,0.632,0.7,5.81,,,,
447,407.58,0.546,0.64,4.7,,,,
448,381.25,0.524,0.61,4.2,,,,
449,418.45,0.59,0.67,4.8,,,,
450,422.2,0.662,0.7,5.47,437.79,0.655,5.77,fixed
451,458.59,0.63,0.72,5.76,,,,
452,390.65,0.524,0.62,4.25,,,,
453,456.82,0.674,0.74,5.96,,,,
454,412.88,0.65,0.69,5.41,,,,
455,418.98,0.621,0.68,5.16,,,,
456,409.05,0.613,0.67,4.96,,,,
457,382.14,0.488,0.6,3.96,,,,
458,438.34,0.671,0.72,5.89,,,,
459,428.01,0.661,0.71,5.68,,,,
460,437.0,0.663,0.71,5.67,,,,
461,486.73,0.641,0.75,5.73,,,,
462,428.8,0.635,0.7,5.38,,,,
