Episode,Throughput_Mbps,JFI,MARL_Reward,Active_APs,Eval_Throughput_Mbps,Eval_JFI,Eval_Active_APs
395,487.46,0.658,0.83,5.97,,,
396,493.63,0.66,0.84,5.99,,,
397,487.98,0.661,0.83,5.98,,,
398,490.13,0.659,0.83,5.95,,,
399,484.85,0.655,0.82,5.96,,,
400,490.24,0.663,0.83,5.99,427.37,0.668,5.91
401,487.96,0.661,0.83,5.97,,,
402,490.64,0.666,0.83,5.99,,,
403,480.16,0.646,0.82,5.95,,,
404,488.97,0.66,0.83,5.96,,,
405,485.42,0.657,0.83,5.97,,,
406,489.52,0.662,0.83,5.94,,,
407,491.22,0.665,0.83,5.96,,,
408,490.63,0.657,0.82,5.79,,,
409,483.11,0.65,0.82,5.97,,,
410,487.35,0.653,0.83,5.97,,,
411,495.23,0.665,0.84,5.97,,,
412,486.42,0.656,0.83,5.98,,,
413,494.61,0.666,0.84,5.98,,,
414,488.62,0.66,0.83,5.97,,,
415,488.64,0.65,0.83,5.95,,,
416,488.47,0.659,0.83,5.95,,,
417,487.18,0.659,0.83,5.97,,,
418,484.39,0.649,0.83,6.0,,,
419,493.85,0.664,0.84,5.99,,,
420,485.1,0.655,0.83,5.95,,,
421,489.02,0.655,0.83,5.97,,,
422,486.62,0.656,0.83,5.94,,,
423,492.87,0.665,0.84,5.98,,,
424,491.43,0.662,0.83,5.97,,,
425,484.84,0.657,0.82,5.94,,,
426,489.9,0.66,0.83,5.94,,,
427,493.69,0.662,0.84,5.98,,,
428,492.44,0.662,0.83,5.99,,,
429,490.39,0.662,0.83,5.98,,,
430,491.46,0.66,0.83,5.96,,,
431,480.78,0.648,0.82,5.96,,,
432,492.13,0.664,0.84,5.99,,,
433,464.66,0.611,0.76,5.5,,,
434,492.6,0.662,0.83,5.95,,,
435,492.19,0.661,0.83,5.94,,,
436,488.68,0.656,0.83,5.98,,,
437,495.22,0.666,0.84,6.0,,,
438,496.32,0.666,0.84,5.98,,,
439,495.37,0.664,0.84,5.98,,,
440,494.71,0.666,0.84,5.98,,,
441,488.95,0.657,0.83,5.94,,,
442,490.82,0.658,0.83,5.96,,,
443,488.56,0.657,0.83,5.95,,,
444,492.87,0.661,0.83,5.98,,,
445,493.26,0.662,0.84,5.99,,,
446,487.19,0.648,0.83,5.99,,,
447,487.48,0.656,0.83,5.93,,,
448,487.46,0.652,0.83,5.96,,,
449,484.95,0.636,0.82,5.97,,,
450,487.52,0.653,0.83,5.96,426.78,0.648,5.94
451,489.55,0.656,0.83,5.99,,,
452,486.78,0.652,0.83,5.99,,,
453,461.16,0.622,0.78,5.73,,,
454,490.51,0.658,0.83,5.99,,,
455,491.73,0.659,0.83,5.92,,,
456,474.08,0.629,0.81,5.95,,,
457,480.59,0.64,0.82,5.99,,,
458,490.77,0.655,0.83,5.98,,,
459,479.47,0.632,0.81,5.91,,,
460,485.97,0.651,0.82,5.89,,,
461,480.36,0.639,0.82,5.96,,,
462,489.85,0.65,0.83,5.94,,,
463,485.02,0.647,0.83,5.99,,,
464,483.48,0.65,0.81,5.84,,,
465,478.18,0.639,0.8,5.73,,,
466,472.74,0.627,0.81,5.97,,,
467,484.52,0.637,0.82,5.91,,,
468,487.98,0.645,0.8,5.6,,,
469,480.7,0.648,0.82,5.91,,,
470,489.58,0.655,0.82,5.86,,,
471,462.19,0.6,0.75,5.34,,,
472,484.52,0.641,0.81,5.79,,,
473,483.32,0.646,0.81,5.79,,,
474,485.05,0.648,0.82,5.88,,,
475,472.35,0.636,0.8,5.76,,,
476,469.81,0.622,0.78,5.59,,,
477,464.34,0.611,0.8,5.91,,,
478,475.79,0.641,0.8,5.77,,,
479,470.57,0.623,0.8,5.86,,,
480,468.35,0.611,0.78,5.62,,,
481,465.2,0.616,0.77,5.51,,,
482,459.67,0.612,0.8,5.96,,,
483,460.63,0.599,0.75,5.37,,,
484,483.54,0.648,0.82,5.97,,,
485,474.76,0.629,0.79,5.67,,,
486,473.87,0.641,0.82,5.99,,,
487,432.69,0.571,0.71,5.23,,,
488,471.88,0.614,0.78,5.71,,,
489,469.9,0.645,0.81,5.94,,,
490,463.85,0.602,0.75,5.36,,,
491,482.04,0.653,0.82,5.94,,,
492,477.55,0.633,0.8,5.79,,,
493,467.05,0.615,0.77,5.5,,,
494,475.47,0.632,0.8,5.74,,,
495,487.29,0.629,0.79,5.59,,,
496,482.04,0.62,0.77,5.48,,,
497,466.13,0.612,0.76,5.49,,,
498,479.01,0.605,0.77,5.5,,,
499,484.01,0.627,0.79,5.64,,,
500,453.99,0.587,0.73,5.28,413.59,0.622,5.48
501,472.08,0.626,0.79,5.69,,,
502,460.05,0.597,0.74,5.35,,,
503,480.83,0.648,0.81,5.87,,,
504,477.71,0.628,0.8,5.74,,,
505,476.33,0.63,0.79,5.72,,,
506,457.86,0.585,0.73,5.23,,,
507,477.2,0.611,0.77,5.44,,,
508,488.17,0.626,0.79,5.61,,,
509,488.08,0.609,0.78,5.51,,,
510,461.24,0.598,0.75,5.38,,,
511,483.01,0.631,0.81,5.89,,,
512,490.87,0.639,0.82,5.86,,,
513,499.33,0.659,0.84,5.96,,,
514,494.24,0.645,0.83,5.96,,,
515,488.81,0.642,0.82,5.87,,,
516,489.93,0.65,0.83,5.99,,,
517,494.33,0.652,0.83,5.92,,,
518,489.6,0.657,0.83,5.93,,,
519,479.18,0.636,0.82,5.95,,,
520,491.28,0.651,0.82,5.81,,,
521,498.26,0.659,0.83,5.91,,,
522,483.26,0.639,0.82,5.96,,,
523,479.94,0.643,0.81,5.81,,,
524,476.15,0.609,0.77,5.49,,,
525,488.21,0.661,0.83,5.96,,,
526,488.91,0.654,0.82,5.9,,,
527,494.82,0.651,0.83,5.96,,,
528,489.77,0.637,0.8,5.7,,,
529,492.61,0.656,0.83,5.96,,,
530,493.07,0.648,0.83,5.96,,,
531,484.86,0.638,0.8,5.67,,,
532,487.95,0.637,0.8,5.71,,,
533,491.29,0.654,0.83,5.9,,,
534,478.24,0.641,0.8,5.71,,,
535,478.51,0.647,0.81,5.84,,,
536,496.74,0.648,0.82,5.81,,,
537,474.97,0.646,0.82,5.97,,,
538,473.21,0.623,0.79,5.68,,,
539,479.6,0.642,0.82,5.94,,,
540,479.06,0.635,0.82,5.97,,,
541,468.4,0.618,0.81,5.99,,,
542,483.53,0.646,0.82,5.92,,,
543,482.92,0.637,0.8,5.75,,,
544,490.12,0.644,0.8,5.68,,,
545,495.97,0.651,0.83,5.98,,,
546,498.27,0.656,0.84,5.99,,,
547,474.15,0.628,0.81,5.95,,,
548,481.79,0.641,0.82,5.97,,,
549,485.84,0.651,0.83,5.98,,,
550,479.05,0.633,0.81,5.85,424.34,0.657,5.92
551,488.03,0.635,0.81,5.84,,,
552,476.29,0.638,0.82,5.99,,,
553,469.21,0.626,0.81,5.98,,,
554,469.28,0.626,0.79,5.75,,,
555,490.06,0.646,0.83,5.98,,,
556,488.82,0.646,0.83,6.0,,,
557,478.35,0.637,0.81,5.94,,,
558,487.35,0.649,0.83,5.98,,,
559,476.05,0.639,0.82,5.99,,,
560,471.72,0.632,0.81,5.98,,,
561,473.43,0.637,0.82,6.0,,,
562,474.94,0.625,0.81,5.91,,,
563,467.4,0.625,0.81,5.95,,,
564,482.73,0.633,0.76,5.27,,,
565,467.74,0.607,0.78,5.74,,,
566,496.41,0.659,0.83,5.95,,,
567,478.24,0.639,0.82,5.95,,,
568,477.82,0.637,0.82,5.97,,,
569,475.78,0.633,0.82,5.98,,,
570,469.47,0.611,0.81,5.99,,,
