Episode,Throughput_Mbps,JFI,MARL_Reward,Active_APs,Eval_Throughput_Mbps,Eval_JFI,Eval_Active_APs,Eval_Mode
442,305.46,0.352,0.47,3.03,,,,
443,414.86,0.559,0.65,5.08,,,,
444,368.87,0.477,0.58,4.06,,,,
445,370.12,0.444,0.57,3.56,,,,
446,380.98,0.514,0.61,4.45,,,,
447,405.67,0.488,0.62,4.01,,,,
448,376.61,0.49,0.59,4.2,,,,
449,346.26,0.427,0.54,3.43,,,,
450,333.67,0.424,0.53,3.4,365.8,0.454,3.64,fixed
451,377.72,0.452,0.58,3.77,,,,
452,312.95,0.411,0.51,3.27,,,,
453,372.69,0.455,0.58,3.84,,,,
454,348.2,0.439,0.55,3.82,,,,
455,338.66,0.406,0.53,3.21,,,,
456,382.44,0.525,0.61,4.52,,,,
457,371.12,0.465,0.58,3.96,,,,
458,374.64,0.52,0.61,4.5,,,,
459,350.02,0.444,0.55,3.89,,,,
460,399.49,0.561,0.64,4.95,,,,
461,381.78,0.401,0.56,3.44,,,,
462,394.46,0.521,0.62,4.94,,,,
463,374.38,0.481,0.59,4.21,,,,
464,370.11,0.436,0.56,4.08,,,,
465,388.71,0.488,0.6,4.35,,,,
466,416.8,0.538,0.65,4.53,,,,
467,391.65,0.53,0.62,4.54,,,,
468,395.98,0.53,0.63,4.79,,,,
469,382.38,0.483,0.6,3.88,,,,
470,409.49,0.555,0.65,5.01,,,,
471,369.13,0.487,0.59,4.53,,,,
472,384.05,0.441,0.58,3.58,,,,
473,353.32,0.412,0.54,3.61,,,,
474,363.97,0.421,0.55,3.54,,,,
475,374.68,0.431,0.56,4.01,374.27,0.484,4.21,fixed
476,384.07,0.51,0.61,4.34,,,,
477,366.41,0.461,0.57,4.26,,,,
478,387.65,0.508,0.61,4.49,,,,
479,369.03,0.511,0.6,4.5,,,,
480,365.26,0.532,0.6,4.97,,,,
481,314.27,0.413,0.51,3.39,,,,
482,364.98,0.451,0.57,3.88,,,,
483,361.75,0.476,0.57,4.37,,,,
484,364.42,0.487,0.58,4.64,,,,
485,388.4,0.446,0.58,4.2,,,,
486,360.08,0.372,0.52,3.37,,,,
487,379.99,0.437,0.57,4.05,,,,
488,341.68,0.406,0.53,3.16,,,,
489,379.37,0.45,0.57,4.01,,,,
490,398.85,0.485,0.61,4.46,,,,
491,394.4,0.558,0.64,4.71,,,,
492,400.57,0.567,0.65,4.99,,,,
493,380.69,0.526,0.61,4.56,,,,
494,384.4,0.451,0.58,4.0,,,,
495,404.43,0.571,0.65,5.01,,,,
496,363.95,0.474,0.58,4.01,,,,
497,379.31,0.439,0.57,3.99,,,,
498,379.31,0.454,0.58,4.01,,,,
499,409.88,0.458,0.61,4.02,,,,
500,401.53,0.444,0.59,4.01,415.48,0.522,4.95,fixed
